total_to_anom,total_from_anom,total_other,total_added,total_deleted
25,19,136,360,67
25,19,136,360,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
25,19,136,720,67
0,0,0,0,0
25,19,136,720,67
25,19,136,720,67
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
25,19,136,720,67
33,26,345,1616,144
27,21,221,1076,104
25,19,165,836,79
25,19,165,418,79
25,19,165,627,79
25,19,165,627,79
25,19,165,627,79
25,19,165,627,79
25,19,165,627,79
25,19,165,627,79
25,19,165,627,79
25,19,165,627,79
25,19,165,627,79
25,19,165,209,79
25,19,165,0,79
25,19,165,627,79
25,19,165,627,79
25,19,165,627,79
37,29,281,1041,117
9,11,60,240,36
25,19,160,612,79
14,9,88,333,79
17,15,140,516,79
25,19,165,627,79
25,19,164,624,79
19,16,141,528,79
24,18,156,594,79
24,18,156,594,79
24,18,156,594,79
24,18,156,594,79
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
24,18,156,594,33
23,18,154,585,33
36,29,270,1005,44
23,18,154,585,33
23,18,154,585,33
23,18,154,585,33
1,0,134,405,0
0,0,26,78,0
1,0,134,405,0
1,0,134,405,0
1,0,134,405,0
1,0,134,405,0
1,0,137,414,0
1,0,134,405,0
1,0,134,405,0
1,0,134,405,0
1,0,134,405,0
1,0,134,405,0
1,0,134,405,0
1,0,134,405,0
1,0,134,405,0
32,28,129,567,0
32,28,130,570,0
